feature_index,occurrence_count,occurrence_percentage,globally_interesting
69252,469,93.8,False
868,468,93.60000000000001,False
56694,448,89.60000000000001,False
13469,444,88.8,False
67053,434,86.8,False
60470,421,84.2,False
67792,396,79.2,False
43830,376,75.2,False
26844,365,73.0,False
60592,358,71.6,False
23547,336,67.2,False
54500,315,63.0,False
23624,305,61.0,False
49621,300,60.0,False
6109,300,60.0,False
68305,298,59.599999999999994,False
34360,281,56.2,False
39196,274,54.800000000000004,False
17061,254,50.8,False
3714,253,50.6,False
50933,250,50.0,False
46866,246,49.2,False
53124,245,49.0,False
6354,244,48.8,False
28069,240,48.0,False
10642,228,45.6,False
38558,225,45.0,True
73382,207,41.4,False
35655,204,40.8,False
71364,203,40.6,False
13781,202,40.400000000000006,False
2923,192,38.4,False
11967,191,38.2,False
44205,190,38.0,False
10276,190,38.0,False
25705,184,36.8,False
25088,179,35.8,False
52309,176,35.199999999999996,False
71786,173,34.599999999999994,False
70300,171,34.2,False
52852,169,33.800000000000004,False
29021,165,33.0,False
61721,156,31.2,False
27389,154,30.8,False
53328,151,30.2,False
39033,149,29.799999999999997,False
13394,142,28.4,False
8355,139,27.800000000000004,False
64545,139,27.800000000000004,False
30822,134,26.8,False
41875,134,26.8,False
48133,126,25.2,False
62631,124,24.8,False
24595,120,24.0,False
33636,118,23.599999999999998,False
52896,118,23.599999999999998,False
383,116,23.200000000000003,False
72103,116,23.200000000000003,False
19908,109,21.8,False
38472,108,21.6,False
13407,105,21.0,False
50286,105,21.0,False
39800,102,20.4,False
43813,101,20.200000000000003,False
39416,101,20.200000000000003,False
19592,101,20.200000000000003,False
17956,98,19.6,False
29050,97,19.400000000000002,False
32043,97,19.400000000000002,False
47450,96,19.2,False
23353,94,18.8,False
11903,93,18.6,False
57319,92,18.4,False
42231,92,18.4,False
67335,92,18.4,False
21167,91,18.2,False
73595,91,18.2,False
42678,89,17.8,False
29100,87,17.4,False
68411,85,17.0,False
41222,84,16.8,False
45408,83,16.6,False
16177,82,16.400000000000002,False
22576,81,16.2,False
36156,81,16.2,False
38385,80,16.0,False
22642,79,15.8,False
50771,78,15.6,False
42890,77,15.4,False
64507,76,15.2,False
63152,76,15.2,False
24012,75,15.0,False
8768,74,14.799999999999999,False
50189,74,14.799999999999999,False
30059,74,14.799999999999999,False
64163,73,14.6,False
72821,73,14.6,False
34906,72,14.399999999999999,False
40182,72,14.399999999999999,False
15906,71,14.2,False
11468,71,14.2,False
72451,70,14.000000000000002,False
52566,70,14.000000000000002,False
44222,70,14.000000000000002,False
71680,70,14.000000000000002,False
40347,70,14.000000000000002,False
30340,68,13.600000000000001,False
43095,68,13.600000000000001,False
4901,68,13.600000000000001,False
58049,68,13.600000000000001,False
28121,67,13.4,False
2365,67,13.4,False
12756,67,13.4,False
21913,67,13.4,False
31828,66,13.200000000000001,False
38846,66,13.200000000000001,False
34408,66,13.200000000000001,False
10752,66,13.200000000000001,False
49395,65,13.0,False
31153,65,13.0,False
65154,65,13.0,False
52049,65,13.0,False
39770,65,13.0,False
28135,65,13.0,False
11369,65,13.0,False
51215,64,12.8,False
33840,64,12.8,False
23351,64,12.8,False
66737,64,12.8,False
45170,64,12.8,False
63213,63,12.6,False
15476,63,12.6,False
66263,63,12.6,False
47501,62,12.4,False
69922,62,12.4,False
72065,61,12.2,False
50220,61,12.2,False
19748,60,12.0,False
30864,60,12.0,False
22521,60,12.0,False
58507,60,12.0,False
14784,60,12.0,False
10836,59,11.799999999999999,False
60366,59,11.799999999999999,False
44158,59,11.799999999999999,False
574,59,11.799999999999999,False
42089,59,11.799999999999999,False
49446,59,11.799999999999999,False
31641,58,11.600000000000001,False
13430,58,11.600000000000001,False
1536,58,11.600000000000001,False
48401,58,11.600000000000001,False
1294,58,11.600000000000001,False
31146,58,11.600000000000001,False
43949,58,11.600000000000001,False
66517,58,11.600000000000001,False
55924,58,11.600000000000001,False
29539,58,11.600000000000001,False
46583,58,11.600000000000001,False
15786,58,11.600000000000001,False
19022,58,11.600000000000001,False
27053,57,11.4,False
49749,57,11.4,False
5047,57,11.4,False
2430,57,11.4,False
813,57,11.4,False
57927,57,11.4,False
31568,57,11.4,False
24820,57,11.4,False
996,57,11.4,False
56893,56,11.200000000000001,False
33397,56,11.200000000000001,False
69168,56,11.200000000000001,False
23532,56,11.200000000000001,False
68152,56,11.200000000000001,False
42953,56,11.200000000000001,False
37115,56,11.200000000000001,False
17812,56,11.200000000000001,False
65247,56,11.200000000000001,False
39116,56,11.200000000000001,False
65341,56,11.200000000000001,False
12686,56,11.200000000000001,False
32589,56,11.200000000000001,False
18752,55,11.0,False
61710,55,11.0,False
70484,55,11.0,False
1580,55,11.0,False
