feature_idx,l1_norm_base,l1_norm_it,l2_norm_base,l2_norm_it,delta_l1_norm,delta_l2_norm,cosine_similarity,l1_norm_base_enc,l1_norm_it_enc,l2_norm_base_enc,l2_norm_it_enc,delta_l1_norm_enc,delta_l2_norm_enc,cosine_similarity_enc
30485,33.74836,44.04757,1.0358546,1.2112026,0.6169101,0.5723859,-0.30138576,24.283548,20.928625,0.6457286,0.55815226,0.43092188,0.43218797,-0.51531106
24740,40.026344,41.13047,1.1223472,1.1039529,0.51342225,0.4918054,-0.28278568,31.588284,27.324907,0.8310078,0.7192521,0.4325165,0.43275896,0.07397474
8434,50.021854,41.02114,1.3486568,1.114426,0.41003218,0.41316146,-0.103749946,31.400127,18.73394,0.8179144,0.49736986,0.29830992,0.3040476,-0.081241935
38099,51.3771,37.287395,1.4395766,1.130333,0.3628795,0.39259213,-0.016975425,36.381218,26.171059,0.94748765,0.682396,0.35967815,0.36010814,0.24232769
47194,52.171776,41.749107,1.3781667,1.1144837,0.400112,0.40433562,-0.016844314,40.680435,27.087406,1.0474312,0.7095787,0.33292916,0.3387233,0.2475678
54960,47.696404,47.416275,1.2738844,1.254631,0.49706343,0.49244305,-0.014653586,42.43795,42.194187,1.1024115,1.1051482,0.497128,0.50123817,0.41469517
44458,40.17166,46.167797,1.0702982,1.2220546,0.5649385,0.5620907,0.0005739173,48.350853,42.569435,1.2495016,1.1016345,0.4402139,0.44082958,0.49778128
71975,38.497288,50.743664,1.0159454,1.3916727,0.620669,0.6349913,0.0041145105,31.709745,33.48696,0.83399576,0.87166333,0.5265359,0.52160674,0.26611263
16759,45.343033,45.25433,1.2659234,1.2575028,0.49902186,0.49667412,0.029910073,27.296852,40.89028,0.7148612,1.0670365,0.66621834,0.66502494,0.10162115
1475,41.183395,51.715553,1.103596,1.399869,0.60182774,0.60582167,0.03133718,38.369553,37.00664,1.0007789,0.96606547,0.48223966,0.48265678,0.39594054
44124,45.007366,47.28427,1.214526,1.3736084,0.52407676,0.5579067,0.04453946,31.668697,35.673958,0.8313083,0.9274086,0.556137,0.55181116,0.36406466
61123,40.111847,44.34639,1.0896691,1.194586,0.5477439,0.5439135,0.046740845,39.70582,36.35997,1.0255,0.94138914,0.45786703,0.45899028,0.38563204
71620,38.64356,53.070457,1.0562212,1.4238206,0.63592213,0.62908906,0.05072193,37.229607,35.81473,0.9674549,0.9415019,0.48099798,0.486587,0.19181469
72822,49.612644,49.751087,1.3315504,1.3363137,0.50139135,0.5017823,0.0645063,41.677628,33.315155,1.0720893,0.8691713,0.3996767,0.4053633,0.40186572
56411,39.581436,45.438072,1.0477617,1.2150716,0.56444633,0.5688478,0.065141544,47.672848,45.41899,1.2364068,1.1688159,0.47636122,0.47266638,0.49972686
56286,42.44352,45.494835,1.144939,1.1979936,0.53353477,0.5221431,0.06622652,43.954613,42.80684,1.1356671,1.0922862,0.48694366,0.4809007,0.63143075
34990,39.317596,48.737045,1.0341967,1.2818117,0.5966354,0.5965879,0.07088314,43.751877,46.522343,1.1366543,1.1914393,0.5297756,0.5229911,0.679737
47578,38.05945,49.616993,1.0298625,1.3135846,0.6164676,0.60799533,0.071654335,46.81299,44.939083,1.2078768,1.1580023,0.4799852,0.47935447,0.6146786
59226,56.563683,45.125134,1.4962943,1.2360407,0.39888787,0.41303396,0.07809371,44.27127,39.29639,1.1466881,0.99960685,0.44381368,0.43586692,0.6061574
15123,43.74647,50.521187,1.1807009,1.3641642,0.56704825,0.5672439,0.082730316,27.944609,29.237028,0.73352355,0.76306707,0.5221024,0.5193584,0.2264648
22444,40.265347,52.403877,1.0770512,1.4064066,0.6158171,0.6170911,0.09486158,29.61216,29.0882,0.7690694,0.7568976,0.49115294,0.4920867,0.17152041
20695,42.183628,45.450623,1.1030577,1.2092003,0.53594005,0.5438895,0.101382986,45.738106,44.302376,1.1794115,1.1488923,0.48430488,0.48706165,0.69573975
12296,38.675922,42.554523,1.0270959,1.1182986,0.54557216,0.54077744,0.10231263,45.40909,47.015636,1.1667486,1.2061195,0.51708525,0.5163213,0.66221166
12918,42.400253,48.14197,1.1091248,1.2639912,0.5596332,0.5612609,0.104221754,45.99888,46.300865,1.1939315,1.1955044,0.50326115,0.50065786,0.710464
15000,42.209373,41.79451,1.1195393,1.1021917,0.49508566,0.49225235,0.1060729,45.94977,43.80982,1.172448,1.1165916,0.4767142,0.47617954,0.69917876
40841,39.62909,41.837246,1.0446961,1.108377,0.52638984,0.5287271,0.11001118,43.12923,41.601555,1.1039698,1.0717187,0.48228955,0.4853931,0.60964525
39254,48.000473,54.20852,1.2720957,1.4265544,0.5572608,0.554137,0.111245885,40.48694,37.928333,1.0392051,0.97227925,0.4684021,0.4677995,0.6010841
37026,37.981308,46.385693,1.0062243,1.2550874,0.59059244,0.5991417,0.11322491,40.55535,43.55323,1.0540769,1.1126825,0.53441626,0.52633524,0.5899021
30311,45.067818,45.722816,1.1805452,1.2119968,0.5071627,0.5129751,0.12006411,39.537594,39.049606,1.022718,1.0043488,0.4938288,0.49101943,0.5649264
19760,39.673016,47.179474,1.0376912,1.2479945,0.5795522,0.58425653,0.13015082,46.697205,43.444912,1.2096348,1.1216223,0.4651768,0.46362025,0.56183714
10159,38.750397,41.618786,1.0406249,1.1027285,0.53446025,0.5281591,0.13816041,46.86313,43.642517,1.2338783,1.1456335,0.4656381,0.46424088,0.42147133
16824,46.9251,49.25642,1.2454542,1.3438244,0.52366513,0.5366008,0.13916837,46.178955,32.314888,1.1980143,0.8387037,0.3498876,0.35003912,0.044817843
15489,43.938107,44.640472,1.1689483,1.1915576,0.5078669,0.50948733,0.13933977,31.47343,24.91986,0.82467735,0.6523783,0.39588726,0.3955355,0.18993725
33938,36.982475,51.844772,1.0204085,1.3991948,0.64333457,0.6353587,0.14141071,40.609184,21.540604,1.0624889,0.5643015,0.26521838,0.2655564,0.24058929
42400,44.6204,46.923664,1.2012789,1.2976456,0.5245427,0.53713137,0.14217475,35.249233,28.11036,0.91619265,0.7388616,0.39873716,0.40322393,0.14600872
60846,49.882664,42.69078,1.3539767,1.1716907,0.427912,0.43268496,0.14391342,33.674446,25.557964,0.87729686,0.6860821,0.37948602,0.3910205,0.27301443
56258,44.806793,49.96986,1.1604717,1.297843,0.5516618,0.5529229,0.14883158,46.35412,47.067146,1.1985811,1.2253773,0.50757456,0.5109339,0.6696084
14077,44.52845,43.98826,1.2519838,1.2176129,0.4939343,0.48627344,0.14919274,23.37738,42.199535,0.60919464,1.1104846,0.72301376,0.72570777,0.16264287
40238,39.10774,52.536453,1.0698085,1.3940431,0.6278038,0.6162929,0.15292013,41.372536,40.16459,1.0754881,1.0339994,0.4854016,0.4807117,0.57090706
35747,45.280678,48.359703,1.1895598,1.2859584,0.5318346,0.53748125,0.15409346,42.743706,41.222183,1.096752,1.0803833,0.48220178,0.49253762,0.56920516
38558,51.070717,45.43502,1.3555808,1.2127268,0.44482458,0.44730896,0.15513152,41.72645,34.873573,1.0838604,0.90220505,0.41788328,0.41619983,0.48441115
34427,39.074516,43.792572,1.0113864,1.1422375,0.55386823,0.55727845,0.15877685,47.8196,46.478065,1.2155651,1.1957653,0.48597297,0.4918557,0.5942885
52795,37.982918,45.781197,1.0097793,1.2153647,0.585169,0.5845776,0.1589129,42.621803,42.787598,1.1106778,1.1136009,0.5019374,0.50131243,0.4699383
12233,39.2876,50.18839,1.0586334,1.3320285,0.6085987,0.6026236,0.16844264,45.40951,45.014698,1.1708754,1.1533072,0.49565274,0.49249783,0.6410612
60112,42.286537,41.445488,1.1086403,1.1050526,0.49005535,0.4983819,0.17384008,36.91962,23.59901,0.9682063,0.6122657,0.31959987,0.31618556,0.0997602
50649,46.37851,52.383583,1.2336215,1.4262507,0.5573183,0.5675299,0.17681715,42.550957,36.844543,1.1023995,0.9512523,0.43294612,0.43144625,0.5054749
6668,39.750042,48.3938,1.0504845,1.28407,0.5893065,0.59095514,0.18250215,43.4787,43.8533,1.1127499,1.1281055,0.50427103,0.5068059,0.7216536
36336,47.975063,41.439934,1.2587767,1.1053046,0.43189037,0.4390392,0.18500069,44.4338,38.402702,1.1537143,0.99229974,0.4321339,0.4300457,0.5636288
16482,41.073143,41.3687,1.11397,1.1239107,0.5035722,0.50442237,0.18806954,39.606445,34.63596,1.0369841,0.9125899,0.43725157,0.44002116,0.3514341
11335,39.222763,49.82498,1.0317156,1.3175582,0.6063946,0.6084744,0.19455102,46.791897,43.65708,1.1933961,1.1253126,0.46650258,0.4714749,0.6460645
29983,40.732525,44.5355,1.0969548,1.1787149,0.542696,0.53468186,0.201332,43.16238,43.6236,1.1291578,1.1273103,0.50528634,0.4991819,0.6410298
25435,40.63549,49.275158,1.0764954,1.3121762,0.5876676,0.5898053,0.2013836,42.661892,40.05461,1.0948875,1.0274066,0.46944252,0.46918362,0.6460279
39186,42.41089,48.34532,1.1439794,1.306349,0.56137544,0.5621463,0.20423111,31.571533,26.179445,0.8192946,0.6876337,0.41460523,0.41964984,0.1702642
2169,40.857864,44.494297,1.0863798,1.1743587,0.54086405,0.5374583,0.20437665,46.333054,46.592564,1.194193,1.1990924,0.5027849,0.50204295,0.68281364
2171,41.280396,51.296925,1.0790621,1.3480636,0.5976328,0.5997733,0.21617597,46.330116,46.202015,1.1838977,1.1858416,0.49861753,0.5008196,0.7148729
58580,56.815956,40.888275,1.5373211,1.1513216,0.35983092,0.37445712,0.22208771,33.330956,22.101711,0.8783833,0.61004436,0.33154932,0.3472541,-0.053166367
51819,47.07579,51.656265,1.3023096,1.4339913,0.5443361,0.5459144,0.23023248,32.273468,39.46704,0.8432288,1.0312091,0.59113395,0.5911456,0.48335153
50686,40.16146,47.63817,1.0978944,1.2841429,0.5784739,0.5725186,0.23117556,38.64224,37.60858,0.9924527,0.9791369,0.48662528,0.49329147,0.5882286
20132,39.71082,48.37661,1.0509558,1.2778561,0.58956593,0.58878165,0.23225576,42.01168,44.415688,1.0692053,1.1366558,0.5270626,0.5296706,0.645002
7022,38.706932,46.176506,1.005913,1.2001472,0.58088064,0.58092093,0.2352032,42.999672,43.918083,1.1197163,1.1297016,0.51045597,0.50441945,0.5872914
3639,39.7606,34.9542,1.1366817,1.2700092,0.43955827,0.5524908,0.23523763,47.794792,18.049328,1.2695173,0.49751094,0.18882108,0.1959449,0.02917802
65378,42.411064,44.071785,1.1371875,1.2010909,0.5188411,0.52660227,0.23619257,37.15071,32.028625,0.96950775,0.8370085,0.4310634,0.43166673,0.3048458
47725,41.456375,42.12917,1.1012363,1.1178739,0.5079849,0.50744164,0.23913862,45.341408,42.553665,1.1574872,1.0899786,0.4692583,0.4708383,0.6030134
10531,39.636078,42.398663,1.0442395,1.1119763,0.5325787,0.5304578,0.24525268,47.864025,46.08957,1.2373081,1.192568,0.48146358,0.48192036,0.7449506
25454,42.97525,42.06665,1.1355245,1.1206509,0.4894288,0.49345076,0.24543025,44.111977,41.88134,1.1370649,1.0896881,0.4747162,0.47916704,0.6297517
54274,39.45375,44.538246,1.0450922,1.1837991,0.5570801,0.5585855,0.245527,46.041756,45.485207,1.1883731,1.194053,0.49395603,0.50237846,0.5531595
16021,46.227654,50.260155,1.2721819,1.4383825,0.5401163,0.5577735,0.25610343,37.526016,22.198685,0.9935581,0.59345573,0.29577726,0.29865175,0.050288778
18502,37.496998,52.178368,1.0278664,1.4134743,0.6406845,0.6364043,0.25817788,26.298563,30.909538,0.6927991,0.8029268,0.57458824,0.5685789,0.116910875
9556,41.134422,43.512253,1.1025306,1.1410763,0.52732366,0.51689005,0.25926298,45.927193,45.105324,1.1805304,1.1661425,0.49105248,0.49390614,0.65855336
66498,38.132652,43.497925,1.0063998,1.1541759,0.56167275,0.564018,0.26078022,44.151085,43.410713,1.1339426,1.1161331,0.49161547,0.4921471,0.7105953
19415,47.82841,41.491936,1.305943,1.1642125,0.43375826,0.44573632,0.26170954,31.842808,24.38017,0.83863956,0.6404487,0.38282067,0.38183787,-0.18603116
10208,38.885647,47.26545,1.0394068,1.2691888,0.5886462,0.5905232,0.2646902,41.08602,40.183563,1.0548717,1.0426736,0.48901746,0.4942182,0.60062
71313,37.754387,44.018127,1.0094377,1.1638454,0.5711496,0.56633514,0.2653371,43.606117,44.190697,1.1230121,1.1445324,0.50661427,0.5094014,0.6115153
7089,42.906895,55.245872,1.136011,1.4556835,0.6116733,0.60980153,0.26699108,48.213318,46.104553,1.2401389,1.1777763,0.47813088,0.47485662,0.61242354
31244,37.963875,43.448517,1.0183975,1.1448001,0.56311655,0.5552073,0.27561256,45.88773,45.71646,1.1916584,1.1840892,0.49813384,0.4968241,0.73595655
40451,43.786423,45.825905,1.1761473,1.2186979,0.5222525,0.51745737,0.28090343,26.845364,29.377449,0.70047253,0.76793253,0.5430957,0.54392314,0.08683455
42186,38.40355,45.731598,1.024621,1.2234203,0.5801202,0.5812473,0.28137016,44.675606,44.71369,1.1496006,1.1412492,0.5004259,0.49636766,0.72433925
8889,39.162857,41.559288,1.0373452,1.1229416,0.5288315,0.5381126,0.28146094,45.540977,44.848328,1.1682336,1.1477962,0.4923953,0.49125284,0.6659334
54625,39.74523,61.504562,1.0965952,1.6817969,0.67689204,0.6739811,0.2817638,29.016068,35.776245,0.75980616,0.93125945,0.5944786,0.59205455,0.114160426
33670,38.929893,44.88874,1.0249193,1.1905264,0.5663735,0.56955206,0.28263634,45.679718,45.611828,1.1903307,1.1830479,0.49925688,0.49694082,0.73947
66898,40.700195,48.800674,1.0634733,1.2734262,0.58299553,0.5824362,0.2829125,44.585526,44.724846,1.1323022,1.1393607,0.5015575,0.5030976,0.79314053
56565,40.813087,49.447754,1.0691813,1.3023945,0.587311,0.5895325,0.28866678,46.68833,45.635567,1.2035749,1.1865071,0.4887256,0.49290955,0.61407113
38631,39.61211,43.982357,1.0512404,1.1581613,0.54968184,0.54615974,0.292693,44.720207,44.39933,1.1439042,1.1299169,0.4964124,0.49388614,0.7961497
715,44.5559,41.298275,1.1922933,1.1339338,0.4634434,0.47552636,0.29424474,35.044403,31.52053,0.92799586,0.8279985,0.44972277,0.44612187,0.40816453
24689,38.892036,47.562546,1.0104295,1.2433236,0.5911485,0.59365785,0.29459298,47.12094,48.43158,1.2350061,1.2631446,0.51353085,0.51113826,0.7651072
54200,38.20404,48.43819,1.0061637,1.3066684,0.60564137,0.61498886,0.29466397,36.24886,35.36477,0.952248,0.93396497,0.48780528,0.49040008,0.2857407
52399,37.452686,42.761856,1.0596999,1.2161878,0.56207836,0.56433547,0.29678828,41.69886,19.194443,1.1114227,0.5134244,0.2301555,0.23097622,0.10209853
70956,41.21313,41.758766,1.0887173,1.1061988,0.5065332,0.5079016,0.2998727,42.788887,37.789204,1.1148633,0.97919554,0.44157732,0.43915498,0.5623535
27547,45.520157,44.44951,1.2051221,1.1684008,0.48823985,0.48476446,0.29994544,45.491615,45.072365,1.1751568,1.1600412,0.495392,0.4935687,0.73203236
48786,38.96351,47.512142,1.0290505,1.2563931,0.5899626,0.5904743,0.3008173,44.598362,43.713615,1.1463518,1.1333835,0.49008095,0.49434367,0.68747413
52240,37.983505,49.93006,1.0136962,1.333866,0.6196329,0.62001574,0.30447742,36.240196,37.608994,0.9351911,0.9667076,0.5181977,0.5163009,0.49710703
50723,39.216003,54.50895,1.0319616,1.4512354,0.64027923,0.6444541,0.30699363,44.75499,45.955006,1.1497902,1.1777574,0.5130564,0.51187307,0.77134126
59752,39.39617,46.047905,1.0292336,1.2163975,0.5722262,0.57693374,0.30884665,45.897217,44.55387,1.18581,1.1514227,0.48536572,0.48550054,0.69097567
58246,49.443405,41.806164,1.311645,1.134275,0.42276785,0.4323864,0.30954608,34.814285,28.33897,0.92164946,0.73749655,0.40700203,0.40009603,0.25274438
50071,39.31134,43.2896,1.0373784,1.1395707,0.5459494,0.5448381,0.3105964,45.79705,42.9805,1.1686766,1.100516,0.46924964,0.47083855,0.75831205
70498,38.563892,47.649372,1.0197427,1.2582538,0.5953368,0.5947786,0.31125623,46.845863,46.273575,1.1978946,1.1893021,0.4938918,0.4964135,0.74980515
60734,42.701653,47.64901,1.1370666,1.2716373,0.5519146,0.55291235,0.31356215,41.582603,41.531998,1.0630875,1.0662026,0.4993915,0.50146085,0.6664131
3126,39.82174,44.13787,1.0384331,1.1574262,0.54889375,0.55140424,0.31558907,43.179756,41.74682,1.1174994,1.0976778,0.4834073,0.4911313,0.617874
12440,44.786613,52.32897,1.2348306,1.4291999,0.5720668,0.56799936,0.31825215,41.876396,36.12238,1.075727,0.9506128,0.4312976,0.44184667,0.26193613
