joke_index,joke_text,nonzero_feature_count,nonzero_features,kl_divergence
0,"[me narrating a documentary about narrators] ""I can't hear what they're saying cuz I'm talking""",0,[],
1,"Telling my daughter garlic is good for you. Good immune system and keeps pests away.Ticks, mosquitos, vampires... men.",0,[],
2,I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper.,0,[],
3,"If I could have dinner with anyone, dead or alive... ...I would choose alive. -B.J. Novak-",0,[],
4,Two guys walk into a bar. The third guy ducks.,0,[],
5,Why can't Barbie get pregnant? Because Ken comes in a different box. Heyooooooo,0,[],
6,Why was the musician arrested? He got in treble.,0,[],
7,Did you hear about the guy who blew his entire lottery winnings on a limousine? He had nothing left to chauffeur it.,0,[],
8,What do you do if a bird shits on your car? Don't ask her out again.,0,[],
9,He was a real gentlemen and always opened the fridge door for me,0,[],
